date;time;depth 0.1m;depth 0.3m;depth 0.5m;depth 1.0m;depth 3.0m;
2009-08-29;13:30;12.353;12.357;12.344;12.350;;
2009-08-29;14:20;12.353;12.357;12.344;12.350;;
2009-08-29;15:10;12.353;12.357;12.344;12.350;;
2009-08-29;16:00;12.353;12.357;12.344;12.350;12.345;
2009-08-29;16:50;12.377;12.381;12.344;12.375;;
2009-08-29;17:40;12.377;12.381;12.368;12.375;;
2009-08-29;18:30;12.377;12.381;12.368;12.375;;
2009-08-29;19:20;12.377;12.381;12.368;12.375;;
2009-08-29;20:10;12.377;12.381;12.368;12.375;;
2009-08-29;21:00;12.377;12.381;12.344;12.350;12.345;
2009-08-29;21:50;12.353;12.381;12.344;12.350;;
2009-08-29;22:40;12.328;12.333;12.319;12.350;;
2009-08-29;23:30;12.328;12.333;12.319;12.350;;
2009-08-30;00:20;12.328;12.333;12.319;12.326;;
2009-08-30;01:10;12.304;12.309;12.295;12.302;;
2009-08-30;02:00;12.280;12.285;12.271;12.278;12.273;
2009-08-30;02:50;;12.260;12.247;12.278;;
2009-08-30;03:40;;12.236;12.247;12.254;;
2009-08-30;04:30;;12.212;12.198;12.229;;
2009-08-30;05:20;;12.212;12.198;12.205;;
2009-08-30;06:10;;12.188;12.174;12.181;;
2009-08-30;07:00;12.159;12.164;12.150;12.157;12.152;
2009-08-30;07:50;12.135;12.139;12.126;12.133;;
2009-08-30;08:40;12.111;12.115;12.101;12.133;;
2009-08-30;09:30;12.135;12.115;12.101;12.108;;
2009-08-30;10:20;12.111;12.091;12.077;12.084;;
2009-08-30;11:10;12.111;12.115;12.101;12.084;;
2009-08-30;12:00;12.135;12.115;12.101;12.108;12.079;
2009-08-30;12:50;12.111;12.115;12.077;12.084;;
2009-08-30;13:40;12.135;12.115;12.101;12.108;;
2009-08-30;14:30;12.135;12.139;12.101;12.133;;
2009-08-30;15:20;12.280;12.260;12.198;12.205;;
2009-08-30;16:10;12.353;12.333;12.271;12.302;;
2009-08-30;17:00;12.353;12.333;12.295;12.302;12.224;
2009-08-30;17:50;12.304;12.309;12.295;12.302;;
2009-08-30;18:40;12.280;12.285;12.271;12.278;;
2009-08-30;19:30;12.232;12.236;12.247;12.254;;
2009-08-30;20:20;12.207;12.212;12.198;12.205;;
2009-08-30;21:10;12.183;12.188;12.174;12.181;;
2009-08-30;22:00;12.135;12.139;12.126;12.157;12.127;
2009-08-30;22:50;12.111;12.115;12.101;12.108;;
2009-08-30;23:40;12.062;12.067;12.053;12.060;;
2009-08-31;00:30;12.014;12.018;12.005;12.036;;
2009-08-31;01:20;11.989;11.994;11.980;12.011;;
2009-08-31;02:10;11.965;11.970;11.956;11.963;;
2009-08-31;03:00;11.941;11.946;11.932;11.939;11.934;
2009-08-31;03:50;11.893;11.897;11.883;11.890;;
2009-08-31;04:40;11.844;11.849;11.835;11.842;;
2009-08-31;05:30;11.796;11.800;11.786;11.818;;
2009-08-31;06:20;11.771;11.776;11.762;11.769;;
2009-08-31;07:10;11.747;11.751;11.738;11.745;;
2009-08-31;08:00;11.723;11.727;11.713;11.720;11.691;
2009-08-31;08:50;11.771;11.751;11.738;11.720;;
2009-08-31;09:40;11.747;11.751;11.738;11.745;;
2009-08-31;10:30;11.796;11.800;11.762;11.745;;
2009-08-31;11:20;11.796;11.800;11.762;11.769;;
2009-08-31;12:10;11.893;11.897;11.883;11.890;;
